epoch,sensor,link,log type,data,SST
1739686065.21,2,DATA,SOFT2,2116,2854
1739686065.24,3,DATA,SOFT2,2162,2699
1739686065.67,1,DATA,SOFT2,2644,2844
1739686065.71,2,DATA,SOFT2,2616,2853
1739686065.74,3,DATA,SOFT2,2662,2699
1739686123.61,1,DATA,SOFT2,585,2841
1739686123.65,2,DATA,SOFT2,563,2853
1739686123.67,3,DATA,SOFT2,601,2702
1739686124.11,1,DATA,SOFT2,1085,2841
1739686124.15,2,DATA,SOFT2,1063,2853
1739686124.17,3,DATA,SOFT2,1101,2702
1739686124.61,1,DATA,SOFT2,1585,2841
1739686124.65,2,DATA,SOFT2,1563,2853
1739686124.67,3,DATA,SOFT2,1601,2702
1739686125.11,1,DATA,SOFT2,2085,2841
1739686125.15,2,DATA,SOFT2,2063,2853
1739686125.17,3,DATA,SOFT2,2101,2702
1739686125.61,1,DATA,SOFT2,2585,2841
1739686125.65,2,DATA,SOFT2,2563,2853
1739686125.67,3,DATA,SOFT2,2601,2702
1739686183.59,1,DATA,SOFT2,547,2836
1739686183.72,2,DATA,SOFT2,639,2851
1739686183.75,3,DATA,SOFT2,645,2703
1739686184.09,1,DATA,SOFT2,1047,2836
1739686184.22,2,DATA,SOFT2,1139,2851
1739686184.25,3,DATA,SOFT2,1145,2704
1739686184.59,1,DATA,SOFT2,1547,2835
1739686184.72,2,DATA,SOFT2,1639,2851
1739686184.75,3,DATA,SOFT2,1645,2704
1739686185.09,1,DATA,SOFT2,2047,2835
1739686185.22,2,DATA,SOFT2,2139,2851
1739686185.25,3,DATA,SOFT2,2145,2704
1739686185.59,1,DATA,SOFT2,2547,2835
1739686185.72,2,DATA,SOFT2,2639,2851
1739686185.75,3,DATA,SOFT2,2645,2703
1739686243.53,1,DATA,SOFT2,517,2831
1739686243.59,3,DATA,SOFT2,534,2706
1739686243.68,2,DATA,SOFT2,558,2849
1739686244.03,1,DATA,SOFT2,1017,2831
1739686244.09,3,DATA,SOFT2,1034,2706
1739686244.18,2,DATA,SOFT2,1058,2848
1739686244.53,1,DATA,SOFT2,1517,2831
1739686244.59,3,DATA,SOFT2,1534,2706
1739686244.68,2,DATA,SOFT2,1558,2849
1739686245.03,1,DATA,SOFT2,2017,2831
1739686245.09,3,DATA,SOFT2,2034,2706
1739686245.17,2,DATA,SOFT2,2058,2848
1739686245.53,1,DATA,SOFT2,2517,2831
1739686245.59,3,DATA,SOFT2,2534,2706
1739686245.67,2,DATA,SOFT2,2558,2849
1739686303.59,2,DATA,SOFT2,537,2848
1739686303.63,3,DATA,SOFT2,571,2708
1739686303.67,1,DATA,SOFT2,653,2829
1739686304.09,2,DATA,SOFT2,1037,2847
1739686304.13,3,DATA,SOFT2,1071,2708
1739686304.17,1,DATA,SOFT2,1153,2829
1739686304.59,2,DATA,SOFT2,1537,2847
1739686304.63,3,DATA,SOFT2,1571,2708
1739686304.67,1,DATA,SOFT2,1653,2829
1739686305.09,2,DATA,SOFT2,2037,2847
1739686305.13,3,DATA,SOFT2,2071,2708
1739686305.17,1,DATA,SOFT2,2153,2829
1739686305.59,2,DATA,SOFT2,2537,2847
1739686305.63,3,DATA,SOFT2,2571,2708
