millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
214288,1668628011.80,185.29,263.01,262.15, 
214687,1668628012.20,168.91,240.86,151.87, 
215089,1668628012.60,136.61,219.77,48.42, 
215490,1668628013.00,170.66,281.91,-115.46, 
215898,1668628013.40,241.74,309.92,-182.18, 
216299,1668628013.80,276.28,212.13,-307.04, 
216690,1668628014.20,248.20,80.47,-514.88, 
217088,1668628014.60,123.62,71.78,-408.84, 
217497,1668628015.00,18.77,14.31,-221.75, 
217888,1668628015.40,-35.95,-48.03,-120.79, 
218296,1668628015.80,-113.70,50.64,-53.36, 
218685,1668628016.20,-113.44,161.85,30.51, 
219097,1668628016.60,-48.75,214.40,67.64, 
219486,1668628017.00,34.06,201.48,-90.91, 
219885,1668628017.40,16.94,137.81,-343.91, 
220293,1668628017.80,-94.32,98.90,-566.73, 
220694,1668628018.20,-135.67,-0.85,-527.49, 
221093,1668628018.60,-280.80,-66.00,-385.39, 
221485,1668628019.00,-425.31,-68.93,-224.90, 
221884,1668628019.40,-453.10,-87.10,-170.61, 
222285,1668628019.80,-371.77,-117.02,-51.29, 
222693,1668628020.20,-186.27,-156.51,105.32, 
223094,1668628020.60,-65.64,-218.73,162.45, 
223485,1668628021.00,-31.63,-280.61,237.65, 
223883,1668628021.40,-49.85,-210.06,386.26, 
224284,1668628021.80,15.66,-132.81,534.72, 
224688,1668628022.20,196.99,-67.73,559.45, 
225089,1668628022.60,306.24,19.40,393.42, 
225486,1668628023.00,242.38,40.12,150.64, 
225890,1668628023.40,217.68,-8.98,54.10, 
226287,1668628023.80,97.68,-63.84,-98.40, 
226686,1668628024.20,-1.60,-89.90,-190.57, 
227086,1668628024.60,-82.20,-141.32,-281.30, 
227485,1668628025.00,-129.90,-194.80,-276.55, 
227887,1668628025.40,-214.40,-183.25,-244.07, 
228274,1668628025.80,-198.51,-135.59,-107.49, 
228677,1668628026.20,-229.08,-60.66,90.21, 
229083,1668628026.60,-280.72,68.67,190.52, 
229488,1668628027.00,-172.58,221.85,364.11, 
229885,1668628027.40,-16.95,341.49,469.83, 
230275,1668628027.80,77.01,415.18,333.23, 
230678,1668628028.20,167.75,350.70,194.19, 
