millis,type,message
3911587672,INFO,powerData | Fault reg: 0
3911587692,INFO,powerData | Charge status: 0
3911587717,INFO,powerData | DPM status: 0
3911631894,INFO,Starting analysis m: 1087 t: 1 e: 8
3911632187,WARN,Disabling IridiumMessageSender transmissions
3911633483,INFO,Completed analysis m: 1087 t: 1 e: 8
3911633508,INFO,Enabling IridiumMessageSender transmissions
3911683045,INFO,Starting analysis m: 1087 t: 1 e: 9
3911683420,WARN,Disabling IridiumMessageSender transmissions
3911684874,INFO,Completed analysis m: 1087 t: 1 e: 9
3911684898,INFO,Enabling IridiumMessageSender transmissions
3911734188,INFO,Starting analysis m: 1087 t: 1 e: 10
3911734470,WARN,Disabling IridiumMessageSender transmissions
3911735775,INFO,Completed analysis m: 1087 t: 1 e: 10
3911735799,INFO,Enabling IridiumMessageSender transmissions
3911784286,INFO,Max CNO changed from 49 to 46
3911785338,INFO,Starting analysis m: 1087 t: 1 e: 11
3911785619,WARN,Disabling IridiumMessageSender transmissions
3911786870,INFO,Completed analysis m: 1087 t: 1 e: 11
3911786895,INFO,Enabling IridiumMessageSender transmissions
3911836477,INFO,Starting analysis m: 1087 t: 1 e: 12
3911836760,WARN,Disabling IridiumMessageSender transmissions
3911838070,INFO,Completed analysis m: 1087 t: 1 e: 12
3911838095,INFO,Enabling IridiumMessageSender transmissions
3911887525,INFO,powerData | solV: 0.00
3911887550,INFO,powerData | solI: 0.00
3911887575,INFO,powerData | battV: 4.11
3911887597,INFO,powerData | battI: -0.08
3911887618,INFO,powerData | busV: 4.10
3911887638,INFO,powerData | busI: 0.07
3911887659,INFO,powerData | BQ status reg: 0
3911887683,INFO,powerData | Fault reg: 0
3911887704,INFO,powerData | Charge status: 0
3911887724,INFO,powerData | DPM status: 0
3911887816,INFO,Starting analysis m: 1087 t: 1 e: 13
3911888166,WARN,Disabling IridiumMessageSender transmissions
3911889401,INFO,Completed analysis m: 1087 t: 1 e: 13
3911889426,INFO,Enabling IridiumMessageSender transmissions
3911938779,INFO,Starting analysis m: 1087 t: 1 e: 14
3911939059,WARN,Disabling IridiumMessageSender transmissions
3911940368,INFO,Completed analysis m: 1087 t: 1 e: 14
3911940397,INFO,Enabling IridiumMessageSender transmissions
3911989927,INFO,Starting analysis m: 1087 t: 1 e: 15
3911990208,WARN,Disabling IridiumMessageSender transmissions
3911991552,INFO,Completed analysis m: 1087 t: 1 e: 15
3911991576,INFO,Enabling IridiumMessageSender transmissions
3912041074,INFO,Starting analysis m: 1087 t: 1 e: 16
3912041357,WARN,Disabling IridiumMessageSender transmissions
3912042708,INFO,Completed analysis m: 1087 t: 1 e: 16
3912042733,INFO,Enabling IridiumMessageSender transmissions
3912083980,INFO,Max CNO changed from 46 to 49
3912092248,INFO,Starting analysis m: 1087 t: 1 e: 17
3912092549,WARN,Disabling IridiumMessageSender transmissions
3912093845,INFO,Completed analysis m: 1087 t: 1 e: 17
3912093870,INFO,Enabling IridiumMessageSender transmissions
3912103952,INFO,Max CNO changed from 49 to 46
3912143366,INFO,Starting analysis m: 1087 t: 1 e: 18
3912143656,WARN,Disabling IridiumMessageSender transmissions
3912145090,INFO,Completed analysis m: 1087 t: 1 e: 18
3912145117,INFO,Enabling IridiumMessageSender transmissions
3912183877,INFO,Max CNO changed from 46 to 49
3912187535,INFO,powerData | solV: 0.00
3912187557,INFO,powerData | solI: 0.00
3912187578,INFO,powerData | battV: 4.11
3912187598,INFO,powerData | battI: -0.09
3912187621,INFO,powerData | busV: 4.10
3912187645,INFO,powerData | busI: 0.08
3912187668,INFO,powerData | BQ status reg: 0
3912187688,INFO,powerData | Fault reg: 0
3912187711,INFO,powerData | Charge status: 0
3912187736,INFO,powerData | DPM status: 0
3912194521,INFO,Starting analysis m: 1087 t: 1 e: 19
3912194801,WARN,Disabling IridiumMessageSender transmissions
3912196104,INFO,Completed analysis m: 1087 t: 1 e: 19
3912196128,INFO,Enabling IridiumMessageSender transmissions
3912245665,INFO,Starting analysis m: 1087 t: 1 e: 20
3912245956,WARN,Disabling IridiumMessageSender transmissions
3912247248,INFO,Completed analysis m: 1087 t: 1 e: 20
3912247275,INFO,Enabling IridiumMessageSender transmissions
3912296802,INFO,Starting analysis m: 1087 t: 1 e: 21
3912297084,WARN,Disabling IridiumMessageSender transmissions
3912298344,INFO,Completed analysis m: 1087 t: 1 e: 21
3912298369,INFO,Enabling IridiumMessageSender transmissions
3912303757,INFO,Max CNO changed from 49 to 46
3912347959,INFO,Starting analysis m: 1087 t: 1 e: 22
3912348241,WARN,Disabling IridiumMessageSender transmissions
3912349556,INFO,Completed analysis m: 1087 t: 1 e: 22
3912349581,INFO,Enabling IridiumMessageSender transmissions
3912399093,INFO,Starting analysis m: 1087 t: 1 e: 23
3912399386,WARN,Disabling IridiumMessageSender transmissions
3912400637,INFO,Completed analysis m: 1087 t: 1 e: 23
3912400662,INFO,Enabling IridiumMessageSender transmissions
3912450254,INFO,Starting analysis m: 1087 t: 1 e: 24
3912450537,WARN,Disabling IridiumMessageSender transmissions
3912451837,INFO,Completed analysis m: 1087 t: 1 e: 24
3912451862,INFO,Enabling IridiumMessageSender transmissions
3912487544,INFO,powerData | solV: 0.00
