GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1649882828.40,-14,-2197545,-170,-4586214
1649882888.80,-14,-2197533,-170,-4586248
1649882949.20,-14,-2197508,-170,-4586176
1649883009.60,-14,-2197525,-170,-4586165
1649883070.00,-14,-2197509,-170,-4586157
1649883130.40,-14,-2197495,-170,-4586125
1649883190.80,-14,-2197550,-170,-4586157
1649883251.20,-14,-2197538,-170,-4586102
1649883311.60,-14,-2197598,-170,-4586105
1649883372.00,-14,-2197624,-170,-4586078
1649883432.40,-14,-2197531,-170,-4586132
1649883492.80,-14,-2197593,-170,-4586177
1649883553.20,-14,-2197572,-170,-4586203
1649883613.60,-14,-2197545,-170,-4586298
1649883674.00,-14,-2197542,-170,-4586372
1649883734.40,-14,-2197524,-170,-4586371
1649883794.80,-14,-2197556,-170,-4586418
1649883855.20,-14,-2197534,-170,-4586481
1649883915.60,-14,-2197535,-170,-4586435
1649883976.00,-14,-2197558,-170,-4586461
1649884036.40,-14,-2197601,-170,-4586454
1649884096.80,-14,-2197569,-170,-4586430
1649884157.20,-14,-2197560,-170,-4586414
1649884217.60,-14,-2197569,-170,-4586445
1649884278.00,-14,-2197556,-170,-4586437
1649884338.40,-14,-2197590,-170,-4586484
1649884398.80,-14,-2197566,-170,-4586486
1649884459.20,-14,-2197577,-170,-4586495
1649884519.60,-14,-2197566,-170,-4586488
1649884580.00,-14,-2197604,-170,-4586388
1649884640.40,-14,-2197595,-170,-4586378
1649884700.80,-14,-2197576,-170,-4586288
1649884761.20,-14,-2197615,-170,-4586225
1649884821.60,-14,-2197599,-170,-4586215
1649884882.00,-14,-2197587,-170,-4586181
1649884942.40,-14,-2197589,-170,-4586160
1649885002.80,-14,-2197617,-170,-4586139
1649885063.20,-14,-2197567,-170,-4586134
1649885123.60,-14,-2197625,-170,-4586062
1649885184.00,-14,-2197582,-170,-4586109
1649885244.40,-14,-2197599,-170,-4586084
1649885304.80,-14,-2197610,-170,-4586076
1649885365.20,-14,-2197660,-170,-4586083
1649885424.80,-14,-2197633,-170,-4586061
1649885485.60,-14,-2197606,-170,-4586106
1649885546.00,-14,-2197589,-170,-4586133
1649885606.40,-14,-2197622,-170,-4586192
1649885666.80,-14,-2197612,-170,-4586169
1649885727.20,-14,-2197610,-170,-4586122
1649885787.60,-14,-2197656,-170,-4586057
1649885848.00,-14,-2197606,-170,-4586036
1649885908.40,-14,-2197637,-170,-4586051
1649885968.80,-14,-2197600,-170,-4586041
1649886029.20,-14,-2197673,-170,-4586012
1649886089.60,-14,-2197633,-170,-4586082
1649886149.60,-14,-2197618,-170,-4586079
1649886210.40,-14,-2197597,-170,-4586115
1649886270.80,-14,-2197589,-170,-4586154
1649886331.20,-14,-2197554,-170,-4586219
1649886391.60,-14,-2197573,-170,-4586249
1649886452.00,-14,-2197533,-170,-4586310
1649886512.40,-14,-2197546,-170,-4586336
1649886572.80,-14,-2197585,-170,-4586348
1649886633.20,-14,-2197590,-170,-4586370
1649886693.60,-14,-2197555,-170,-4586387
1649886754.00,-14,-2197585,-170,-4586432
1649886814.40,-14,-2197636,-170,-4586401
1649886874.80,-14,-2197637,-170,-4586416
1649886935.20,-14,-2197644,-170,-4586395
1649886995.60,-14,-2197565,-170,-4586374
1649887056.00,-14,-2197624,-170,-4586364
1649887116.40,-14,-2197611,-170,-4586372
1649887176.80,-14,-2197595,-170,-4586338
1649887237.20,-14,-2197648,-170,-4586319
1649887297.60,-14,-2197715,-170,-4586323
1649887358.00,-14,-2197701,-170,-4586308
1649887418.40,-14,-2197743,-170,-4586341
1649887478.80,-14,-2197739,-170,-4586346
1649887539.20,-14,-2197807,-170,-4586469
1649887599.60,-14,-2197826,-170,-4586478
1649887660.00,-14,-2197846,-170,-4586554
1649887720.40,-14,-2197869,-170,-4586529
1649887780.80,-14,-2197912,-170,-4586538
1649887841.20,-14,-2197907,-170,-4586565
1649887901.60,-14,-2197976,-170,-4586581
1649887962.00,-14,-2198087,-170,-4586618
1649888022.40,-14,-2198090,-170,-4586715
1649888082.80,-14,-2198136,-170,-4586707
1649888143.20,-14,-2198175,-170,-4586672
1649888203.60,-14,-2198291,-170,-4586678
1649888264.00,-14,-2198284,-170,-4586666
1649888324.40,-14,-2198324,-170,-4586637
1649888384.80,-14,-2198319,-170,-4586638
1649888445.20,-14,-2198321,-170,-4586654
1649888505.60,-14,-2198322,-170,-4586657
1649888566.00,-14,-2198353,-170,-4586641
1649888626.40,-14,-2198335,-170,-4586646
1649888686.80,-14,-2198352,-170,-4586699
1649888747.20,-14,-2198324,-170,-4586727
1649888807.60,-14,-2198251,-170,-4586772
1649888868.00,-14,-2198243,-170,-4586808
1649888928.40,-14,-2198258,-170,-4586821
1649888988.80,-14,-2198222,-170,-4586804
1649889049.20,-14,-2198180,-170,-4586809
1649889109.60,-14,-2198186,-170,-4586842
1649889170.00,-14,-2198166,-170,-4586803
1649889229.60,-14,-2198135,-170,-4586839
1649889290.40,-14,-2198135,-170,-4586808
1649889350.80,-14,-2198174,-170,-4586839
1649889411.20,-14,-2198107,-170,-4586820
1649889471.60,-14,-2198122,-170,-4586741
1649889532.00,-14,-2198031,-170,-4586784
1649889592.40,-14,-2198015,-170,-4586716
1649889652.80,-14,-2197983,-170,-4586698
1649889713.20,-14,-2197992,-170,-4586687
1649889773.60,-14,-2197966,-170,-4586722
1649889834.00,-14,-2197912,-170,-4586731
1649889894.40,-14,-2197899,-170,-4586760
1649889954.40,-14,-2197850,-170,-4586737
1649890015.20,-14,-2197862,-170,-4586703
1649890075.60,-14,-2197859,-170,-4586733
1649890136.00,-14,-2197864,-170,-4586783
1649890196.40,-14,-2197912,-170,-4586758
1649890256.80,-14,-2197885,-170,-4586774
1649890317.20,-14,-2197914,-170,-4586709
1649890377.60,-14,-2197904,-170,-4586783
1649890438.00,-14,-2197851,-170,-4586737
1649890498.40,-14,-2197857,-170,-4586693
1649890558.80,-14,-2197823,-170,-4586764
1649890619.20,-14,-2197818,-170,-4586789
1649890679.60,-14,-2197806,-170,-4586816
1649890740.00,-14,-2197785,-170,-4586849
1649890800.40,-14,-2197780,-170,-4586860
1649890860.80,-14,-2197760,-170,-4586820
1649890921.20,-14,-2197785,-170,-4586782
1649890981.60,-14,-2197738,-170,-4586745
1649891042.00,-14,-2197762,-170,-4586725
1649891102.40,-14,-2197826,-170,-4586731
1649891162.80,-14,-2197765,-170,-4586702
1649891223.20,-14,-2197763,-170,-4586720
1649891283.60,-14,-2197715,-170,-4586715
1649891344.00,-14,-2197745,-170,-4586711
1649891404.40,-14,-2197741,-170,-4586706
1649891464.80,-14,-2197693,-170,-4586711
1649891525.20,-14,-2197703,-170,-4586695
1649891585.60,-14,-2197696,-170,-4586687
1649891646.00,-14,-2197661,-170,-4586687
1649891706.40,-14,-2197668,-170,-4586627
1649891766.80,-14,-2197619,-170,-4586635
1649891827.20,-14,-2197607,-170,-4586654
1649891887.60,-14,-2197594,-170,-4586629
1649891948.00,-14,-2197572,-170,-4586596
1649892008.40,-14,-2197615,-170,-4586628
1649892068.80,-14,-2197592,-170,-4586611
1649892129.20,-14,-2197560,-170,-4586633
1649892189.60,-14,-2197544,-170,-4586616
1649892250.00,-14,-2197559,-170,-4586627
1649892310.40,-14,-2197538,-170,-4586624
1649892370.80,-14,-2197569,-170,-4586637
1649892431.20,-14,-2197550,-170,-4586648
1649892491.60,-14,-2197515,-170,-4586628
1649892552.00,-14,-2197536,-170,-4586634
1649892612.40,-14,-2197547,-170,-4586643
1649892672.80,-14,-2197531,-170,-4586630
1649892733.20,-14,-2197552,-170,-4586601
1649892793.60,-14,-2197546,-170,-4586597
1649892854.00,-14,-2197555,-170,-4586585
1649892914.40,-14,-2197589,-170,-4586615
1649892974.80,-14,-2197523,-170,-4586597
1649893035.20,-14,-2197566,-170,-4586595
1649893095.60,-14,-2197487,-170,-4586605
1649893156.00,-14,-2197549,-170,-4586640
1649893216.40,-14,-2197549,-170,-4586664
1649893276.80,-14,-2197552,-170,-4586625
1649893337.20,-14,-2197578,-170,-4586648
1649893397.60,-14,-2197558,-170,-4586636
1649893458.00,-14,-2197624,-170,-4586681
1649893518.40,-14,-2197586,-170,-4586676
1649893578.80,-14,-2197575,-170,-4586636
1649893639.20,-14,-2197604,-170,-4586626
1649893699.60,-14,-2197568,-170,-4586650
1649893759.20,-14,-2197614,-170,-4586656
1649893820.00,-14,-2197592,-170,-4586586
1649893880.40,-14,-2197597,-170,-4586635
1649893940.80,-14,-2197637,-170,-4586625
1649894001.20,-14,-2197626,-170,-4586613
1649894061.60,-14,-2197655,-170,-4586601
1649894122.00,-14,-2197588,-170,-4586610
1649894182.40,-14,-2197619,-170,-4586634
1649894242.80,-14,-2197594,-170,-4586570
1649894303.20,-14,-2197593,-170,-4586590
1649894363.60,-14,-2197603,-170,-4586622
1649894424.00,-14,-2197570,-170,-4586623
1649894484.40,-14,-2197545,-170,-4586589
1649894544.80,-14,-2197573,-170,-4586555
1649894605.20,-14,-2197567,-170,-4586571
1649894665.60,-14,-2197554,-170,-4586584
1649894726.00,-14,-2197584,-170,-4586560
1649894786.40,-14,-2197562,-170,-4586578
1649894846.80,-14,-2197550,-170,-4586556
1649894907.20,-14,-2197554,-170,-4586584
1649894967.60,-14,-2197582,-170,-4586609
1649895028.00,-14,-2197557,-170,-4586589
1649895088.40,-14,-2197561,-170,-4586621
1649895148.80,-14,-2197587,-170,-4586613
1649895209.20,-14,-2197574,-170,-4586583
1649895269.60,-14,-2197535,-170,-4586577
1649895330.00,-14,-2197564,-170,-4586597
1649895390.40,-14,-2197598,-170,-4586595
1649895450.80,-14,-2197557,-170,-4586616
1649895511.20,-14,-2197609,-170,-4586602
1649895571.60,-14,-2197584,-170,-4586627
1649895632.00,-14,-2197587,-170,-4586599
1649895692.40,-14,-2197584,-170,-4586583
1649895752.80,-14,-2197561,-170,-4586599
1649895813.20,-14,-2197560,-170,-4586629
1649895873.60,-14,-2197532,-170,-4586623
1649895934.00,-14,-2197544,-170,-4586618
1649895994.40,-14,-2197543,-170,-4586597
1649896054.80,-14,-2197568,-170,-4586622
1649896115.20,-14,-2197560,-170,-4586604
1649896175.60,-14,-2197566,-170,-4586637
1649896236.00,-14,-2197598,-170,-4586665
1649896296.40,-14,-2197579,-170,-4586647
