MiniDOT Logger Concatenated Data File
Sensor:             7530-432503
Concatenation Date: 2024Jan27 10:23:01 HST


            Unix Timestamp,               UTC_Date_&_Time,          Hawaii Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1674214860,           2023-01-20 11:41:00,           2023-01-20 01:41:00,      3.440000,     26.962000,     -0.300000,     1279.000000,       -5.000000,      160.000000
                1674215460,           2023-01-20 11:51:00,           2023-01-20 01:51:00,      3.440000,     26.896000,     -0.200000,     1228.000000,        4.000000,       99.000000
                1674216060,           2023-01-20 12:01:00,           2023-01-20 02:01:00,      3.430000,     26.855000,     -0.200000,     1366.000000,       -3.000000,      184.000000
                1674216660,           2023-01-20 12:11:00,           2023-01-20 02:11:00,      3.440000,     26.847000,     -0.300000,     1320.000000,      -52.000000,      288.000000
                1674217260,           2023-01-20 12:21:00,           2023-01-20 02:21:00,      3.430000,     26.830000,     -0.000000,     1267.000000,      -20.000000,      113.000000
                1674217860,           2023-01-20 12:31:00,           2023-01-20 02:31:00,      3.430000,     26.822000,      0.200000,     1332.000000,      -44.000000,      344.000000
                1674218460,           2023-01-20 12:41:00,           2023-01-20 02:41:00,      3.430000,     26.822000,     -0.300000,     1320.000000,      -48.000000,      344.000000
                1674219060,           2023-01-20 12:51:00,           2023-01-20 02:51:00,      3.430000,     26.756000,     -0.200000,     1251.000000,       -8.000000,      176.000000
                1674219660,           2023-01-20 13:01:00,           2023-01-20 03:01:00,      3.430000,     26.723000,     -0.100000,     1192.000000,      -36.000000,      159.000000
                1674220260,           2023-01-20 13:11:00,           2023-01-20 03:11:00,      3.430000,     26.723000,      0.200000,     1366.000000,      -16.000000,      281.000000
                1674220860,           2023-01-20 13:21:00,           2023-01-20 03:21:00,      3.430000,     26.764000,      0.000000,     1180.000000,      -56.000000,      171.000000
                1674221460,           2023-01-20 13:31:00,           2023-01-20 03:31:00,      3.430000,     26.814000,      0.000000,     1264.000000,      -64.000000,      376.000000
                1674222060,           2023-01-20 13:41:00,           2023-01-20 03:41:00,      3.430000,     26.938000,     -0.100000,     1187.000000,      -32.000000,      159.000000
                1674222660,           2023-01-20 13:51:00,           2023-01-20 03:51:00,      3.430000,     27.128000,     -0.100000,     1356.000000,        3.000000,      203.000000
                1674223260,           2023-01-20 14:01:00,           2023-01-20 04:01:00,      3.430000,     27.334000,     -0.200000,     1268.000000,      -20.000000,      188.000000
                1674223860,           2023-01-20 14:11:00,           2023-01-20 04:11:00,      3.430000,     27.408000,      0.700000,     1308.000000,      -56.000000,      358.000000
                1674224460,           2023-01-20 14:21:00,           2023-01-20 04:21:00,      3.430000,     27.400000,     -0.300000,     1267.000000,      -21.000000,      160.000000
                1674225060,           2023-01-20 14:31:00,           2023-01-20 04:31:00,      3.440000,     27.424000,      0.000000,     1299.000000,      -15.000000,      185.000000
                1674225660,           2023-01-20 14:41:00,           2023-01-20 04:41:00,      3.440000,     27.391000,     -0.200000,     1388.000000,        9.000000,      212.000000
                1674226260,           2023-01-20 14:51:00,           2023-01-20 04:51:00,      3.440000,     27.416000,     -0.400000,     1395.000000,        7.000000,      216.000000
                1674226860,           2023-01-20 15:01:00,           2023-01-20 05:01:00,      3.440000,     27.515000,      0.300000,     1395.000000,        4.000000,      221.000000
                1674227460,           2023-01-20 15:11:00,           2023-01-20 05:11:00,      3.440000,     27.630000,      0.100000,     1304.000000,       -8.000000,      192.000000
                1674228060,           2023-01-20 15:21:00,           2023-01-20 05:21:00,      3.440000,     27.647000,     -0.100000,     1287.000000,       11.000000,      195.000000
                1674228660,           2023-01-20 15:31:00,           2023-01-20 05:31:00,      3.440000,     27.680000,     -0.000000,     1233.000000,      -33.000000,      184.000000
                1674229260,           2023-01-20 15:41:00,           2023-01-20 05:41:00,      3.440000,     27.647000,     -0.100000,     1248.000000,      -64.000000,      376.000000
                1674229860,           2023-01-20 15:51:00,           2023-01-20 05:51:00,      3.440000,     27.589000,     -0.100000,     1286.000000,      -62.000000,      364.000000
                1674230460,           2023-01-20 16:01:00,           2023-01-20 06:01:00,      3.440000,     27.565000,     -0.300000,     1280.000000,      -64.000000,      364.000000
                1674231060,           2023-01-20 16:11:00,           2023-01-20 06:11:00,      3.440000,     27.565000,     -0.000000,     1148.000000,      -57.000000,      211.000000
                1674231660,           2023-01-20 16:21:00,           2023-01-20 06:21:00,      3.440000,     27.556000,      0.200000,     1235.000000,      -72.000000,      380.000000
                1674232260,           2023-01-20 16:31:00,           2023-01-20 06:31:00,      3.440000,     27.589000,     -0.100000,     1278.000000,      -62.000000,      368.000000
                1674232860,           2023-01-20 16:41:00,           2023-01-20 06:41:00,      3.440000,     27.540000,      0.000000,     1276.000000,      -64.000000,      392.000000
                1674233460,           2023-01-20 16:51:00,           2023-01-20 06:51:00,      3.440000,     27.597000,      0.100000,     1290.000000,      -21.000000,      190.000000
                1674234060,           2023-01-20 17:01:00,           2023-01-20 07:01:00,      3.440000,     27.655000,      0.500000,     1132.000000,      -65.000000,      194.000000
                1674234660,           2023-01-20 17:11:00,           2023-01-20 07:11:00,      3.440000,     27.779000,      2.900000,     1223.000000,      -12.000000,      124.000000
                1674235260,           2023-01-20 17:21:00,           2023-01-20 07:21:00,      3.440000,     27.885000,     10.100000,     1264.000000,      -64.000000,      376.000000
                1674235860,           2023-01-20 17:31:00,           2023-01-20 07:31:00,      3.440000,     27.976000,     33.700000,     1240.000000,      -17.000000,      137.000000
                1674236460,           2023-01-20 17:41:00,           2023-01-20 07:41:00,      3.440000,     28.156000,     67.800000,     1235.000000,      -25.000000,      208.000000
                1674237060,           2023-01-20 17:51:00,           2023-01-20 07:51:00,      3.440000,     28.329000,     40.100000,     1279.000000,      -20.000000,      195.000000
                1674237660,           2023-01-20 18:01:00,           2023-01-20 08:01:00,      3.440000,     28.492000,    242.100000,     1224.000000,      -20.000000,      134.000000
                1674238260,           2023-01-20 18:11:00,           2023-01-20 08:11:00,      3.440000,     29.260000,    278.100000,     1167.000000,      -66.000000,      185.000000
                1674238860,           2023-01-20 18:21:00,           2023-01-20 08:21:00,      3.440000,     30.424000,    331.700000,     1361.000000,       -2.000000,      194.000000
                1674239460,           2023-01-20 18:31:00,           2023-01-20 08:31:00,      3.440000,     31.343000,    138.000000,     1272.000000,      -24.000000,      200.000000
                1674240060,           2023-01-20 18:41:00,           2023-01-20 08:41:00,      3.450000,     31.470000,    301.900000,     1356.000000,      -17.000000,      282.000000
                1674240660,           2023-01-20 18:51:00,           2023-01-20 08:51:00,      3.450000,     32.211000,    424.200000,     1312.000000,      -48.000000,      348.000000
                1674241260,           2023-01-20 19:01:00,           2023-01-20 09:01:00,      3.450000,     32.593000,    319.200000,     1169.000000,      -49.000000,      163.000000
                1674241860,           2023-01-20 19:11:00,           2023-01-20 09:11:00,      3.450000,     32.258000,    231.500000,     1187.000000,      -39.000000,      184.000000
                1674242460,           2023-01-20 19:21:00,           2023-01-20 09:21:00,      3.450000,     31.786000,    465.900000,     1225.000000,        1.000000,      169.000000
                1674243060,           2023-01-20 19:31:00,           2023-01-20 09:31:00,      3.450000,     31.581000,    273.500000,     1225.000000,      -72.000000,      386.000000
                1674243660,           2023-01-20 19:41:00,           2023-01-20 09:41:00,      3.450000,     31.319000,    543.900000,     1351.000000,      -16.000000,      272.000000
                1674244260,           2023-01-20 19:51:00,           2023-01-20 09:51:00,      3.450000,     31.335000,    285.100000,     1304.000000,        3.000000,      174.000000
                1674244860,           2023-01-20 20:01:00,           2023-01-20 10:01:00,      3.450000,     31.025000,    324.600000,     1336.000000,      -12.000000,      207.000000
                1674245460,           2023-01-20 20:11:00,           2023-01-20 10:11:00,      3.450000,     30.705000,    303.700000,     1324.000000,      -50.000000,      368.000000
                1674246060,           2023-01-20 20:21:00,           2023-01-20 10:21:00,      3.450000,     30.657000,    232.600000,     1356.000000,        6.000000,      193.000000
                1674246660,           2023-01-20 20:31:00,           2023-01-20 10:31:00,      3.450000,     30.593000,    262.400000,     1186.000000,      -57.000000,      179.000000
                1674247260,           2023-01-20 20:41:00,           2023-01-20 10:41:00,      3.450000,     30.529000,    261.000000,     1240.000000,      -19.000000,      159.000000
                1674247860,           2023-01-20 20:51:00,           2023-01-20 10:51:00,      3.450000,     30.577000,    225.700000,     1176.000000,      -53.000000,      201.000000
                1674248460,           2023-01-20 21:01:00,           2023-01-20 11:01:00,      3.450000,     30.561000,    270.000000,     1336.000000,      -48.000000,      360.000000
                1674249060,           2023-01-20 21:11:00,           2023-01-20 11:11:00,      3.450000,     30.609000,    289.500000,     1313.000000,      -48.000000,      348.000000
                1674249660,           2023-01-20 21:21:00,           2023-01-20 11:21:00,      3.450000,     30.440000,    309.400000,     1132.000000,      -71.000000,      213.000000
                1674250260,           2023-01-20 21:31:00,           2023-01-20 11:31:00,      3.450000,     30.521000,    279.800000,     1302.000000,      -52.000000,      352.000000
                1674250860,           2023-01-20 21:41:00,           2023-01-20 11:41:00,      3.450000,     30.472000,    200.800000,     1304.000000,      -52.000000,      312.000000
