millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
156165,1739685422.20,-113.71,72.94,-36.58,
156566,1739685422.60,-98.91,50.86,-29.67,
156966,1739685423.00,-84.85,49.29,-21.73,
157367,1739685423.40,-86.73,31.98,-15.78,
157764,1739685423.80,-86.00,34.55,-15.99,
158166,1739685424.20,-83.04,52.96,-17.53,
158567,1739685424.60,-63.01,51.45,-11.15,
158968,1739685425.00,-59.96,50.02,0.59,
159367,1739685425.40,-71.37,48.61,11.02,
159766,1739685425.80,-61.80,47.18,17.49,
160166,1739685426.20,-67.65,61.77,16.16,
160567,1739685426.60,-69.50,56.65,11.27,
160966,1739685427.00,-51.86,51.83,8.08,
161366,1739685427.40,-51.00,63.34,10.79,
161768,1739685427.80,-47.40,71.53,18.16,
162169,1739685428.20,-41.54,60.67,21.05,
162567,1739685428.60,-17.78,66.83,22.93,
162967,1739685429.00,-12.24,54.23,24.84,
163367,1739685429.40,-5.26,58.91,26.69,
163793,1739685429.80,2.82,45.07,25.73,
164166,1739685430.20,27.76,48.75,17.14,
164567,1739685430.60,49.64,34.13,7.96,
164968,1739685431.00,52.52,21.13,1.15,
165370,1739685431.40,72.27,25.74,-0.03,
165769,1739685431.80,89.01,-3.96,1.52,
166167,1739685432.20,118.12,-12.33,2.56,
166567,1739685432.60,126.04,-19.53,5.82,
166967,1739685433.00,131.86,-25.64,5.44,
167369,1739685433.40,150.93,-30.75,6.59,
167769,1739685433.80,149.68,-34.95,10.72,
168167,1739685434.20,162.35,-22.24,9.09,
168568,1739685434.60,155.35,-12.31,14.47,
168968,1739685435.00,147.70,-4.84,15.51,
169369,1739685435.40,154.69,-15.62,14.80,
169768,1739685435.80,157.88,-24.73,10.89,
170169,1739685436.20,142.53,-32.31,0.89,
170568,1739685436.60,142.80,-38.47,-13.78,
170968,1739685437.00,140.20,-43.36,-32.78,
171369,1739685437.40,103.85,-63.16,-38.71,
171770,1739685437.80,88.38,-62.28,-39.36,
172168,1739685438.20,88.95,-76.93,-40.18,
172568,1739685438.60,71.80,-71.47,-47.31,
172968,1739685439.00,55.86,-65.99,-40.53,
173367,1739685439.40,41.11,-60.54,-34.28,
173768,1739685439.80,11.42,-71.24,-33.02,
174169,1739685440.20,17.68,-62.40,-25.90,
174569,1739685440.60,6.09,-54.07,-11.51,
174970,1739685441.00,-4.44,-46.25,-3.18,
175369,1739685441.40,-13.94,-38.95,-6.13,
175769,1739685441.80,-7.25,-32.15,-7.33,
176169,1739685442.20,-18.16,-25.85,-3.50,
176569,1739685442.60,-12.58,-20.04,-0.18,
176969,1739685443.00,-9.13,-14.70,-8.93,
177370,1739685443.40,-7.50,-9.83,-13.76,
177772,1739685443.80,-7.40,-5.42,-16.21,
178171,1739685444.20,-23.76,-1.44,-5.94,
178568,1739685444.60,-22.60,18.20,7.19,
178969,1739685445.00,-22.64,17.80,6.25,
179369,1739685445.40,-23.65,17.41,6.55,
179769,1739685445.80,-10.24,17.02,5.18,
180170,1739685446.20,-15.97,16.61,-3.78,
180570,1739685446.60,-21.75,16.20,-8.76,
180970,1739685447.00,-27.46,15.76,-7.76,
181370,1739685447.40,-17.83,15.31,-8.22,
181771,1739685447.80,-26.48,30.92,-0.87,
182171,1739685448.20,-34.43,26.86,0.99,
182570,1739685448.60,-41.64,7.09,4.65,
182970,1739685449.00,-48.10,7.30,-1.02,
183372,1739685449.40,-53.77,7.43,-4.22,
183797,1739685449.80,-58.66,7.49,-4.45,
184179,1739685450.20,-62.77,23.56,-0.50,
184571,1739685450.60,-81.30,52.10,-0.40,
184971,1739685451.00,-80.53,73.88,6.44,
185371,1739685451.40,-79.40,89.67,19.44,
185770,1739685451.80,-77.92,100.18,29.94,
186170,1739685452.20,-91.28,122.17,33.72,
186572,1739685452.60,-85.77,120.54,47.18,
186973,1739685453.00,-80.31,115.90,52.87,
187370,1739685453.40,-74.90,124.83,54.83,
187773,1739685453.80,-69.55,112.08,45.62,
188172,1739685454.20,-64.25,82.01,38.32,
188572,1739685454.60,-59.00,70.70,40.70,
188972,1739685455.00,-53.82,58.44,38.21,
189373,1739685455.40,-48.71,45.54,27.35,
189772,1739685455.80,-43.69,32.27,26.93,
190173,1739685456.20,-38.76,18.90,25.02,
190572,1739685456.60,-18.74,5.63,13.87,
190971,1739685457.00,-32.58,-7.35,9.82,
191371,1739685457.40,-27.62,-35.94,5.26,
191773,1739685457.80,-22.84,-44.30,-6.78,
192174,1739685458.20,-18.23,-68.42,-4.91,
192573,1739685458.60,-13.81,-88.55,-9.79,
192972,1739685459.00,-24.78,-72.80,-19.99,
193372,1739685459.40,-32.60,-92.91,-32.42,
193772,1739685459.80,-37.66,-76.92,-33.84,
194173,1739685460.20,-40.31,-80.52,-34.41,
194572,1739685460.60,-40.88,-83.57,-32.44,
194973,1739685461.00,-39.69,-102.14,-28.44,
195374,1739685461.40,-37.00,-100.46,-27.34,
195775,1739685461.80,-2.71,-98.56,-24.96,
196172,1739685462.20,-4.51,-96.40,-12.65,
196574,1739685462.60,25.59,-93.95,-11.37,
196973,1739685463.00,35.07,-91.21,-5.55,
197374,1739685463.40,42.99,-88.18,-14.97,
197775,1739685463.80,49.48,-84.84,-22.98,
198173,1739685464.20,69.83,-81.22,-16.25,
198573,1739685464.60,70.43,-77.32,1.28,
198975,1739685465.00,70.29,-57.07,19.08,
199373,1739685465.40,84.69,-56.24,29.53,
199773,1739685465.80,95.16,-38.71,33.83,
200173,1739685466.20,102.13,-24.18,30.38,
200573,1739685466.60,90.83,4.67,26.11,
200975,1739685467.00,95.39,27.42,15.87,
201375,1739685467.40,97.25,60.88,9.98,
201774,1739685467.80,96.77,69.97,4.99,
202177,1739685468.20,94.27,58.35,14.23,
202575,1739685468.60,90.09,80.35,23.05,
202974,1739685469.00,84.49,79.58,12.52,
203374,1739685469.40,77.74,92.64,3.68,
203800,1739685469.80,54.89,100.30,-0.97,
204175,1739685470.20,65.98,70.25,7.67,
204574,1739685470.60,56.57,76.63,25.88,
204974,1739685471.00,46.90,62.81,34.35,
205374,1739685471.40,21.92,65.16,33.87,
