millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
201217,1739944869.40,102.14,345.06,11.03,
201617,1739944869.80,69.22,263.87,11.81,
202017,1739944870.20,74.26,261.96,20.01,
202418,1739944870.60,61.27,274.23,21.43,
202822,1739944871.00,50.12,263.38,28.05,
203219,1739944871.40,40.62,300.06,18.10,
203645,1739944871.80,16.50,226.27,14.69,
204018,1739944872.20,13.33,229.64,7.60,
204419,1739944872.60,10.92,211.41,-2.31,
204822,1739944873.00,57.41,292.18,-10.71,
205220,1739944873.40,61.63,300.98,-25.79,
205618,1739944873.80,80.03,318.51,-43.20,
206018,1739944874.20,77.13,325.24,-52.24,
206418,1739944874.60,89.26,338.77,-57.01,
206820,1739944875.00,96.96,340.87,-59.07,
207217,1739944875.40,100.80,333.24,-69.58,
207619,1739944875.80,85.21,301.34,-86.55,
208020,1739944876.20,70.32,249.25,-92.14,
208420,1739944876.60,56.16,215.59,-91.94,
208819,1739944877.00,58.88,196.12,-80.70,
209219,1739944877.40,58.86,171.95,-68.78,
209619,1739944877.80,72.61,161.14,-58.24,
210020,1739944878.20,16.54,44.73,-57.88,
210419,1739944878.60,-30.06,-37.93,-48.60,
210819,1739944879.00,-3.73,22.52,-41.23,
211219,1739944879.40,16.13,48.83,-42.60,
211621,1739944879.80,-17.93,-3.07,-34.79,
212021,1739944880.20,-30.20,-34.50,-24.17,
212419,1739944880.60,-40.80,-65.05,-10.58,
212819,1739944881.00,-49.84,-110.37,5.16,
213220,1739944881.40,-73.49,-150.50,10.69,
213619,1739944881.80,-76.12,-234.68,10.60,
214020,1739944882.20,-110.02,-286.96,21.23,
214422,1739944882.60,-119.89,-328.37,32.17,
214821,1739944883.00,-126.24,-359.82,36.86,
215221,1739944883.40,-113.37,-349.14,29.26,
215621,1739944883.80,-133.48,-370.61,36.97,
216023,1739944884.20,-131.18,-383.88,43.36,
216421,1739944884.60,-142.93,-373.70,37.78,
216823,1739944885.00,-133.34,-392.68,28.07,
217220,1739944885.40,-122.71,-352.77,23.25,
217622,1739944885.80,-111.29,-348.18,16.19,
218021,1739944886.20,-115.39,-338.43,9.26,
218421,1739944886.60,-130.74,-357.27,10.63,
218821,1739944887.00,-124.20,-365.02,2.53,
219221,1739944887.40,-115.22,-445.32,4.00,
219623,1739944887.80,-119.46,-483.06,9.54,
220024,1739944888.20,-103.59,-451.11,7.51,
220422,1739944888.60,-102.12,-463.27,19.12,
220821,1739944889.00,-112.02,-491.84,19.94,
221221,1739944889.40,-68.94,-401.59,29.06,
221622,1739944889.80,-61.86,-413.81,33.00,
222021,1739944890.20,-52.36,-424.90,47.85,
222421,1739944890.60,-56.15,-417.90,70.18,
222822,1739944891.00,-8.70,-314.34,77.39,
223224,1739944891.40,1.19,-249.21,80.26,
223649,1739944891.80,27.30,-149.46,89.29,
224021,1739944892.20,50.73,-72.69,96.69,
224422,1739944892.60,87.61,33.64,96.23,
224824,1739944893.00,102.28,78.59,93.78,
225223,1739944893.40,114.86,123.64,93.21,
225623,1739944893.80,157.57,201.04,94.00,
226022,1739944894.20,159.05,220.58,89.46,
226422,1739944894.60,175.52,242.47,85.04,
226823,1739944895.00,140.92,217.48,70.81,
227222,1739944895.40,127.60,219.77,61.40,
227623,1739944895.80,131.50,211.69,53.23,
228022,1739944896.20,103.38,211.54,45.22,
228424,1739944896.60,95.65,249.89,43.63,
228824,1739944897.00,73.93,269.96,30.14,
229224,1739944897.40,71.75,241.74,23.38,
229624,1739944897.80,70.00,224.44,14.90,
230025,1739944898.20,68.55,249.26,15.00,
230425,1739944898.60,67.28,257.13,12.04,
230823,1739944899.00,18.73,169.77,0.37,
231222,1739944899.40,-19.36,106.15,-7.39,
231623,1739944899.80,-32.16,62.95,-13.67,
232023,1739944900.20,-40.44,37.14,-8.86,
232424,1739944900.60,-60.94,25.95,-10.49,
232824,1739944901.00,-90.72,-39.27,-11.05,
233223,1739944901.40,-111.08,2.15,-0.94,
233626,1739944901.80,-59.84,128.39,10.29,
234024,1739944902.20,-0.43,221.66,0.66,
234424,1739944902.60,-13.45,252.43,-11.26,
234824,1739944903.00,10.50,282.30,-16.75,
235227,1739944903.40,31.43,343.62,-8.99,
235626,1739944903.80,49.45,379.37,4.74,
236023,1739944904.20,64.72,392.56,9.47,
236423,1739944904.60,77.39,387.81,5.04,
236826,1739944905.00,87.61,433.58,11.16,
237226,1739944905.40,95.53,469.17,13.02,
237625,1739944905.80,131.69,528.31,3.29,
238025,1739944906.20,128.79,522.14,-10.22,
238425,1739944906.60,140.01,578.28,-21.17,
238828,1739944907.00,99.55,550.09,-40.60,
239227,1739944907.40,97.89,586.30,-39.60,
239627,1739944907.80,110.22,622.44,-46.38,
240025,1739944908.20,102.96,591.52,-58.36,
240425,1739944908.60,62.97,522.60,-69.75,
240825,1739944909.00,45.72,456.83,-85.76,
241225,1739944909.40,30.87,394.14,-99.70,
241627,1739944909.80,-30.07,252.24,-113.37,
242026,1739944910.20,-30.18,262.84,-111.23,
242426,1739944910.60,-29.77,263.51,-119.57,
242828,1739944911.00,-28.94,255.56,-137.79,
243230,1739944911.40,-43.88,240.25,-155.34,
243651,1739944911.80,-7.68,267.87,-164.62,
244026,1739944912.20,-25.99,214.27,-175.80,
244426,1739944912.60,7.10,242.63,-187.12,
244826,1739944913.00,33.31,270.19,-195.37,
245226,1739944913.40,22.07,215.39,-198.90,
245626,1739944913.80,28.34,207.64,-193.80,
246027,1739944914.20,32.35,172.80,-183.37,
246427,1739944914.60,64.76,164.60,-184.68,
246826,1739944915.00,73.55,145.15,-173.60,
247225,1739944915.40,63.06,35.17,-156.99,
247627,1739944915.80,82.77,83.25,-142.26,
248027,1739944916.20,80.53,42.95,-132.65,
248428,1739944916.60,90.96,31.37,-119.92,
248830,1739944917.00,80.74,-6.56,-107.39,
249229,1739944917.40,84.38,-33.03,-86.99,
