epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0.00,1,DATA,SOFT2,59137,2951
0.00,2,DATA,SOFT2,59530,2937
0.00,3,DATA,SOFT2,59531,2558
0.00,1,DATA,SOFT2,59637,2951
0.00,2,DATA,SOFT2,60030,2937
0.00,3,DATA,SOFT2,60031,2558
0.00,1,DATA,SOFT2,60137,2951
0.00,2,DATA,SOFT2,60530,2937
0.00,3,DATA,SOFT2,60531,2558
0.00,1,DATA,SOFT2,60637,2951
0.00,2,DATA,SOFT2,61030,2937
0.00,3,DATA,SOFT2,61031,2558
0.00,1,DATA,SOFT2,61137,2951
0.00,2,DATA,SOFT2,61530,2937
0.00,3,DATA,SOFT2,61531,2558
0.00,1,DATA,SOFT2,61637,2951
0.00,2,DATA,SOFT2,62030,2937
0.00,3,DATA,SOFT2,62031,2558
0.00,1,DATA,SOFT2,62137,2951
0.00,2,DATA,SOFT2,62530,2937
0.00,3,DATA,SOFT2,62531,2558
0.00,1,DATA,SOFT2,62637,2951
0.00,2,DATA,SOFT2,63030,2937
0.00,3,DATA,SOFT2,63031,2558
0.00,1,DATA,SOFT2,63137,2951
0.00,2,DATA,SOFT2,63530,2937
0.00,3,DATA,SOFT2,63531,2559
0.00,1,DATA,SOFT2,63637,2951
0.00,2,DATA,SOFT2,64030,2937
0.00,3,DATA,SOFT2,64031,2559
0.00,1,DATA,SOFT2,64137,2951
0.00,2,DATA,SOFT2,64530,2937
0.00,3,DATA,SOFT2,64531,2558
0.00,1,DATA,SOFT2,64637,2951
0.00,2,DATA,SOFT2,65030,2937
0.00,3,DATA,SOFT2,65031,2559
0.00,1,DATA,SOFT2,65137,2951
0.00,2,DATA,SOFT2,65530,2937
0.00,0,BSYS,67617,INFO,etmark 0
0.00,1,DATA,SOFT2,65637,2951
0.00,3,DATA,SOFT2,65531,2558
0.00,2,DATA,SOFT2,66030,2937
0.00,3,DATA,SOFT2,66031,2559
0.00,1,DATA,SOFT2,66137,2951
0.00,2,DATA,SOFT2,66530,2937
0.00,3,DATA,SOFT2,66531,2559
0.00,1,DATA,SOFT2,66637,2951
0.00,2,DATA,SOFT2,67030,2937
0.00,3,DATA,SOFT2,67031,2559
0.00,1,DATA,SOFT2,67137,2951
0.00,2,DATA,SOFT2,67530,2937
0.00,3,DATA,SOFT2,67531,2559
0.00,1,DATA,SOFT2,67637,2951
0.00,2,DATA,SOFT2,68030,2937
0.00,3,DATA,SOFT2,68031,2559
0.00,1,DATA,SOFT2,68137,2951
epoch,link,log type,data
0.00,2,DATA,SOFT2,31610,2689
0.00,0,BSYS,33700,INFO,etmark 1739944705
0.00,3,DATA,SOFT2,32017,2708
0.00,1,DATA,SOFT2,32064,2685
0.00,2,DATA,SOFT2,32110,2689
0.00,3,DATA,SOFT2,32517,2708
0.00,1,DATA,SOFT2,32564,2685
0.00,2,DATA,SOFT2,32610,2689
0.00,3,DATA,SOFT2,33017,2708
0.00,1,DATA,SOFT2,33064,2685
0.00,2,DATA,SOFT2,33110,2689
0.00,3,DATA,SOFT2,33517,2708
0.00,1,DATA,SOFT2,33564,2685
0.00,2,DATA,SOFT2,33610,2689
0.00,3,DATA,SOFT2,34017,2708
0.00,1,DATA,SOFT2,34064,2686
