epoch,link,log type,data
1739992559.00,0,BSYS,497625,INFO,ss until ms 502625
1739992559.00,0,BSYS,497638,INFO,etmark 1739992559
1739992561.64,2,DATA,SOFT2,582,2448
1739992561.68,3,DATA,SOFT2,610,2465
1739992561.70,1,DATA,SOFT2,661,2440
1739992562.14,2,DATA,SOFT2,1082,2448
1739992562.18,3,DATA,SOFT2,1110,2465
1739992562.20,1,DATA,SOFT2,1161,2440
1739992562.64,2,DATA,SOFT2,1582,2448
1739992562.68,3,DATA,SOFT2,1610,2465
1739992562.70,1,DATA,SOFT2,1661,2439
1739992563.14,2,DATA,SOFT2,2082,2448
1739992563.17,3,DATA,SOFT2,2110,2465
1739992563.19,1,DATA,SOFT2,2161,2440
1739992563.64,2,DATA,SOFT2,2582,2448
1739992563.67,3,DATA,SOFT2,2610,2464
1739992563.69,1,DATA,SOFT2,2661,2440
1739992563.98,0,BSYS,502625,INFO,disable SM bus
1739992563.98,0,BSYS,502626,INFO,next ss et 1739992619
1739992568.98,0,BSYS,507630,INFO,etmark 1739992569
1739992579.01,0,BSYS,517630,INFO,etmark 1739992579
1739992589.00,0,BSYS,527631,INFO,etmark 1739992589
1739992599.00,0,BSYS,537631,INFO,etmark 1739992599
1739992609.00,0,BSYS,547631,INFO,etmark 1739992609
1739992619.00,0,BSYS,557625,INFO,enable SM bus
1739992619.00,0,BSYS,557626,INFO,ss until ms 562626
1739992619.00,0,BSYS,557639,INFO,etmark 1739992619
1739992621.59,3,DATA,SOFT2,523,2466
1739992621.61,1,DATA,SOFT2,571,2440
1739992621.65,2,DATA,SOFT2,589,2449
1739992622.09,3,DATA,SOFT2,1023,2466
1739992622.11,1,DATA,SOFT2,1071,2441
1739992622.15,2,DATA,SOFT2,1089,2449
1739992622.59,3,DATA,SOFT2,1523,2466
1739992622.61,1,DATA,SOFT2,1571,2441
1739992622.65,2,DATA,SOFT2,1589,2449
1739992623.09,3,DATA,SOFT2,2023,2466
1739992623.11,1,DATA,SOFT2,2071,2440
1739992623.15,2,DATA,SOFT2,2089,2449
1739992623.59,3,DATA,SOFT2,2523,2466
1739992623.61,1,DATA,SOFT2,2571,2440
1739992623.65,2,DATA,SOFT2,2589,2449
1739992623.98,0,BSYS,562626,INFO,disable SM bus
1739992623.98,0,BSYS,562627,INFO,next ss et 1739992679
1739992628.98,0,BSYS,567631,INFO,etmark 1739992629
1739992639.01,0,BSYS,577631,INFO,etmark 1739992639
1739992649.00,0,BSYS,587631,INFO,etmark 1739992649
1739992659.00,0,BSYS,597631,INFO,etmark 1739992659
1739992669.00,0,BSYS,607631,INFO,etmark 1739992669
1739992679.00,0,BSYS,617625,INFO,enable SM bus
1739992679.00,0,BSYS,617626,INFO,ss until ms 622626
1739992679.00,0,BSYS,617639,INFO,etmark 1739992679
